Msks	enh_0	enh_1	enh_2	enh_3	enh_4	enh_5	enh_6	enh_7	enh_8	enh_9	enh_10	enh_11	enh_12	enh_13	enh_14	enh_15
msk_213	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0
msk_214	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0
msk_215	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1
msk_216	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0
msk_217	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0
msk_218	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0
msk_219	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1
msk_220	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0
msk_221	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0
msk_222	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0
msk_223	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1
msk_224	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0
msk_225	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0
msk_226	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0
msk_227	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1
msk_228	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0
msk_229	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0
msk_230	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0
msk_231	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1
msk_232	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0
msk_233	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0
msk_234	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0
msk_235	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1
msk_236	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0
msk_237	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0
msk_238	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0
msk_239	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1
msk_240	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0
msk_241	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0
msk_242	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0
msk_243	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1
msk_244	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0
msk_245	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0
msk_246	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0
msk_247	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1
msk_248	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0
msk_249	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0
msk_250	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0
msk_251	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1
msk_252	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0
msk_253	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0
msk_254	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0
msk_255	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1
